Make,Model,Details,Storage,Device,Monthly Policy Price,Replacement Price,Release Price,Release Price url,Os,InitialVersion,MaxVersion,Processor,Cores,Memory,SSD,Physical Screen,Resolution,Camera,4G,Frequency,Release Date,Picture,Urls,Replacement Make,Replacement Model,Replacement Memory,
Alcatel,Idol 3,IDOL 3 4.7,8,'idol347',3.99,£130.00,£150.00,http://www.cnet.com/uk/products/alcatel-onetouch-idol-3-4-7/,Android,5.0.2,,1200,4,1536,Y,119,720x1280,13,Y,850 / 900 / 1800 / 1900 ,6/15,https://upload.wikimedia.org/wikipedia/commons/e/e3/Acatel_Idol_3_smartphones.jpg,http://www.gsmarena.com/alcatel_idol_3_(4_7)-7080.php,,,,
Alcatel,Idol 3,Idol 3 5.5”,16,'idol3',5.49,,£260.00,http://www.trustedreviews.com/alcatel-one-touch-idol-3-review,Android,5.0.2,,1500,4,2048,Y,139.7,1080 x 1920,13,Y,850 / 900 / 1800 / 1900 ,6/15,,http://www.gsmarena.com/alcatel_idol_3_%285_5%29-7081.php,HTC,Desire 626,16,
AMAZON,,FIRE 32G,32,,5.49,,£299.00,http://www.pcadvisor.co.uk/review/android-smartphones/amazon-fire-phone-review-3525983/,Fire,3.5,3.6.5,,,,N,119.38,720 x 1280,13,Y,850 / 900 / 1800 / 1900 , 7 /14,,http://www.gsmarena.com/amazon_fire_phone-6453.php,,,,
AMAZON,,FIRE 64G,64,,5.49,,£379.00,http://www.pcadvisor.co.uk/review/android-smartphones/amazon-fire-phone-review-3525983/,Fire,3.5,3.6.5,,,,N,119.38,720 x 1280,13,Y,850 / 900 / 1800 / 1900 , 7 /14,,http://www.gsmarena.com/amazon_fire_phone-6453.php,,,,
Apple,iPhone 4,IPHONE 4 16G,16,"'iPhone 4', 'iPhone3,1', 'iPhone3,2', 'iPhone3,3'",4.99,£224.66,£499.00,http://www.techweekeurope.co.uk/workspace/iphone-4-uk-pricing-revealed-7747,iOS,4,7.1.1,1000,1,512,N,88.9,640 x 960,5,N,850 / 900 / 1800 / 1900 ,6/10,,http://www.gsmarena.com/apple_iphone_4-3275.php,Apple,iPhone 4S,16,
Apple,iPhone 4,IPHONE 4 32G,32,"'iPhone 4', 'iPhone3,1', 'iPhone3,2', 'iPhone3,3'",4.99,£225.04,£599.00,http://www.techweekeurope.co.uk/workspace/iphone-4-uk-pricing-revealed-7747,iOS,4,7.1.1,1000,1,512,N,88.9,640 x 960,5,N,850 / 900 / 1800 / 1900 ,6/10,,http://www.gsmarena.com/apple_iphone_4-3275.php,Apple,iPhone 5S,32,
Apple,iPhone 4,IPHONE 4 8G,8,"'iPhone 4', 'iPhone3,1', 'iPhone3,2', 'iPhone3,3'",4.99,£226.21,£429.00,http://www.t3.com/news/apple-officially-unveil-8gb-iphone-4-at-iphone-4s-launch,iOS,4,7.1.1,1000,1,512,N,88.9,640 x 960,5,N,850 / 900 / 1800 / 1900 ,6/10,,http://www.gsmarena.com/apple_iphone_4-3275.php,Apple,iPhone 4S,16,
Apple,iPhone 4S,IPHONE 4S 16G,16,"'iPhone 4s', 'iPhone4,1'",4.99,£310.41,£499.00,http://www.cnet.com/uk/news/iphone-4s-uk-price-and-release-date-confirmed/,iOS,5,9.3,1000,2,512,N,88.9,640 x 960,8,N,850 / 900 / 1800 / 1900,10/11,,http://www.gsmarena.com/apple_iphone_4s-4212.php,,,,
Apple,iPhone 4S,IPHONE 4S 32G,32,"'iPhone 4s', 'iPhone4,1'",4.99,£356.89,£600.00,http://www.stuff.tv/news/iphone-4s-uk-tariffs-price-and-release-date,iOS,5,9.3,1000,2,512,N,88.9,640 x 960,8,N,850 / 900 / 1800 / 1900,10/11,,http://www.gsmarena.com/apple_iphone_4s-4212.php,Apple,iPhone 5S,32,
Apple,iPhone 4S,IPHONE 4S 64G,64,"'iPhone 4s', 'iPhone4,1'",4.99,£415.67,£700.00,http://www.stuff.tv/news/iphone-4s-uk-tariffs-price-and-release-date,iOS,5,9.3,1000,2,512,N,88.9,640 x 960,8,N,850 / 900 / 1800 / 1900,10/11,,http://www.gsmarena.com/apple_iphone_4s-4212.php,Apple,iPhone 6,64,
